Période,Produit,Sous-Type de Produit/Catégorie/Article,Mode de Transport,Origine,Destination,Port,Activité,Unité,Valeurs
1990Q2,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,MW.h,27
1990Q2,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$,1601.61
1990Q2,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$/MW.h,59.31888889
1990Q2,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,MW.h,4376
1990Q2,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$,185289.81
1990Q2,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$/MW.h,42.34227834
1990Q2,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,MW.h,254528
1990Q2,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$,10246770.14
1990Q2,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$/MW.h,40.25792895
1990Q2,Electricity,N/A,N/A,New York,Québec,N/A,Imports,MW.h,859238
1990Q2,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$,26385738.08
1990Q2,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$/MW.h,30.70829977
1990Q2,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,MW.h,46390
1990Q2,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,CAN$,617736.37
1990Q2,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,CAN$/MW.h,13.3161537
1990Q2,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,MW.h,7309
1990Q2,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$,576348.41
1990Q2,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$/MW.h,78.85461896
1990Q2,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,MW.h,634
1990Q2,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$,29557.8
1990Q2,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$/MW.h,46.62113565
1990Q2,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,MW.h,618
1990Q2,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$,26541.64
1990Q2,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$/MW.h,42.94763754
1990Q2,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,MW.h,33426
1990Q2,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$,295425
1990Q2,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$/MW.h,8.83817986
1990Q2,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,MW.h,184.44
