Period,Product,Product subtype/Category/Commodity,Mode of transportation,Origin,Destination,Port,Activity,Units,Value
1990Q2,Electricity,N/A,N/A,Québec,New Hampshire,N/A,Exports,MW.h,14.82
1990Q2,Electricity,N/A,N/A,Québec,New Hampshire,N/A,Exports,CAN$,1043.31
1990Q2,Electricity,N/A,N/A,Québec,New Hampshire,N/A,Exports,CAN$/MW.h,70.39878543
1990Q2,Electricity,N/A,N/A,Québec,New York,N/A,Exports,MW.h,375580
1990Q2,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$,27409250.58
1990Q2,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$/MW.h,72.97846153
1990Q2,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,MW.h,354552
1990Q2,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$,13164966.41
1990Q2,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$/MW.h,37.13127104
1990Q2,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,MW.h,27305
1990Q2,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$,94918.16
1990Q2,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$/MW.h,3.476219008
1990Q2,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,MW.h,3212.4
1990Q2,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$,134542.54
1990Q2,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$/MW.h,41.88225003
1990Q2,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,MW.h,3360446.6
1990Q2,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$,114903969.9
1990Q2,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$/MW.h,34.19306527
1990Q2,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,MW.h,166691
1990Q2,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$,1948781.04
1990Q2,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$/MW.h,11.69097936
1990Q2,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,MW.h,42223
1990Q2,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$,1553269.4
1990Q2,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$/MW.h,36.78728181
1990Q2,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,MW.h,27
1990Q2,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$,1601.61
1990Q2,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$/MW.h,59.31888889
1990Q2,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,MW.h,3395
1990Q2,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$,185289.81
1990Q2,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$/MW.h,54.57726362
1990Q2,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,MW.h,533158
1990Q2,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$,10360262.15
1990Q2,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$/MW.h,19.43187976
1990Q2,Electricity,N/A,N/A,New York,Québec,N/A,Imports,MW.h,243157
1990Q2,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$,26385738.08
1990Q2,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$/MW.h,108.5131749
1990Q2,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,MW.h,46390
1990Q2,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,CAN$,617736.37
1990Q2,Electricity,N/A,N/A,North Dakota,Manitoba,N/A,Imports,CAN$/MW.h,13.3161537
1990Q2,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,MW.h,17670
1990Q2,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$,576348.41
